name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation,run,cubo
J1840+2340b,18:40:46,23:40:52,53.2,12.8,6,0.6,4804,4,467,9,497,13,69.4,9.8,a,280.191666666667,23.6811111111111,20,263,169.31,251.379,1576.828,169.351,251.291,1576.061,168,170,250,252,1573,1581,29,9,6,0.633074,0.0006622118,0.1497163,0.03066735,0,9.448281,0.3245405,0.06134937,4,-0.1958328,7.564943,5.348074,786.0749,1572.196,0,1.643215,1.158044,-42.92624,1.381232,1.039352,-30.33074,0.3335908,0.01907778,0.04142778,0,2.604627,0.0031243,20.54868,7.39856,4.411467,6.86153,280.20615,23.68522,1396302850,SoFiA J184049.48+234106.8,49.9764385759424,2,1845+22
J1840+2412,18:40:20,24:12:03,53.7,13.1,6.7,1,4011,5,627,10,644,15,56.4,9.7,a,280.083333333333,24.2008333333333,21,284,175.259,283.741,1730.37,175.3,283.775,1730.247,174,176,283,285,1728,1734,27,7,6,0.606163,0.2907684,0.040509,0.03022894,0,1.228058,0.4328097,0.0726921,1,-0.1033473,6,6,863.5203,1727.103,0,1.585254,1.154701,45,1.586931,1.053411,29.9502,0.3600762,0.01988105,0.05658106,0,,0.0064931,10.87566,5.762334,5.405835,5.571817,280.09302,24.226229,1399393020,SoFiA J184022.33+241334.4,96.7947629607853,2,1845+22
J1840+2340b,18:40:46,23:40:52,53.2,12.8,6,0.6,4804,4,467,9,497,13,69.4,9.8,a,280.191666666667,23.6811111111111,99,1575,168.816,250.7,1575.687,168.991,250.781,1575.519,164,173,247,255,1569,1583,533,15,64,0.531446,,,,,,,,,,,,,,,3.473129,2.708552,-19.03357,3.45245,3.130203,81.57781,2.908082,0.01907778,0.2741834,0,14.40185,0.0042391,29.71432,12.87279,9.524251,10.41862,280.2128,23.67675,1396291840,SoFiA J184051.07+234036.3,71.418680227656,11,1845+22
J1837+2204,18:37:53,22:04:10,51.4,12.7,0,,4100,,0,,0,,0,0,a,279.470833333333,22.0694444444444,131,1857,210.252,153.538,1776.666,210.627,154.106,1776.192,205,217,148,160,1761,1792,2311,32,119,0.759151,,,,,,,,,,,,,,,6.038464,4.226928,-85.7127,4.931733,4.571898,65.37469,17.04231,0.0558167,0.7248517,4,203.8175,0.005904,60.04552,28.75268,25.7641,26.24932,279.4761,22.058933,1400313860,SoFiA J183754.26+220332.2,41.7276540678531,11,1845+22
J1848+2309,18:48:33,23:09:35,53.5,10.9,1.2,0.3,4287,3,158,5,166,8,61.3,9,a,282.1375,23.1597222222222,122,1791,63.807,218.614,1729.932,64.003,218.842,1730.023,59,69,214,222,1717,1741,818,25,77,0.573277,,,,,,,,,,,,,,,4.431529,3.227207,75.19697,4.343268,3.313933,62.12822,3.990358,0.01926626,0.08938486,0,242.3068,0.0047405,29.4311,23.55196,4.597516,24.27071,282.12,23.145193,1399388540,SoFiA J184828.80+230842.7,78.058324564935,11,1845+22
J1849+2314,18:49:55,23:14:53,53.7,10.7,2.3,0.4,4211,5,175,10,198,15,60.5,9.3,a,282.479166666667,23.2480555555556,125,1814,43.939,225.405,1744.977,43.883,225.45,1744.853,39,48,221,230,1731,1772,1294,42,79,0.724583,,,,,,,,,,,,,,,4.220176,3.471822,38.14084,3.789388,3.181726,26.19881,7.257527,0.02442612,0.1816292,0,192.6737,0.0044601,46.52943,36.86714,36.18738,36.82732,282.48575,23.253057,1399685760,SoFiA J184956.58+231511.0,28.2518189594071,11,1845+22
J1839+2210,18:39:10,22:10:53,51.7,12.5,2.5,0.5,4894,8,184,16,236,24,74.1,9.5,a,279.791666666667,22.1813888888889,103,1629,192.484,160.941,1613.936,192.54,161.078,1613.798,189,196,158,164,1604,1622,455,19,43,0.445764,,,,,,,,,,,,,,,2.954936,2.75291,36.04004,2.714729,2.609199,67.19263,2.94658,0.02012032,0.3600724,0,296.0999,0.0045355,30.45727,17.06125,14.14288,12.42897,279.80026,22.178299,1397059070,SoFiA J183912.06+221041.9,30.7383846116303,11,1845+22
J1842+2136,18:42:58,21:36:15,51.5,11.4,2.7,0.3,4399,5,225,9,258,14,64.6,9.4,a,280.741666666667,21.6041666666667,109,1724,140.655,126.178,1715.778,140.71,126.296,1715.51,133,147,121,131,1684,1735,1995,52,104,0.782029,,,,,,,,,,,,,,,6.491825,3.671187,-71.77197,4.414384,3.509059,-78.93531,11.19792,0.0212913,0.07426493,0,83.07558,0.0047561,52.76544,49.04738,26.20019,49.8971,280.73535,21.60413,1399097600,SoFiA J184256.48+213614.9,21.1376981807599,11,1845+22
J1845+2135,18:45:25,21:35:40,51.7,10.9,2.7,0.4,3325,3,226,6,234,8,47.2,9.2,a,281.354166666667,21.5944444444444,157,2066,106.813,124.447,1925.693,106.801,124.491,1926.169,101,113,119,130,1915,1936,1378,22,121,0.733132,,,,,,,,,,,,,,,5.876017,4.560058,-57.85967,5.579256,4.776555,-62.44978,5.998354,0.01941667,0.2396627,0,166.2048,0.0045308,35.66428,18.6023,10.98546,18.28271,281.34317,21.574823,1403319550,SoFiA J184522.36+213429.4,79.6523442898957,11,1845+22
J1840+2304,18:40:57,23:04:52,52.7,12.5,2.8,0.4,4110,4,244,9,266,13,61.6,9.4,a,280.2375,23.0811111111111,137,1894,168.055,215.464,1790.211,167.826,215.501,1790.558,164,172,212,219,1782,1799,603,18,58,0.576438,,,,,,,,,,,,,,,3.234781,2.722225,50.77348,3.191283,2.923346,88.58788,3.486027,0.02214117,0,0,70.71426,0.0044021,32.24837,15.82336,12.13883,0,280.2385,23.088697,1400601730,SoFiA J184057.24+230519.3,27.5087807553679,11,1845+22
