name_1,ra_1,dec_1,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr_1,w50max,velerr_1a,w20max,velerr_1b,DLG,MHI,a,ra_dec,dec_d,id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra_2,dec_2,freq,name_2,Separation,run,cubo
J1840+2412,18:40:20,24:12:03,53.7,13.1,6.7,1,4011,5,627,10,644,15,56.4,9.7,a,280.083333333333,24.2008333333333,21,284,175.259,283.741,1730.37,175.3,283.775,1730.247,174,176,283,285,1728,1734,27,7,6,0.606163,0.2907684,0.040509,0.03022894,0,1.228058,0.4328097,0.0726921,1,-0.1033473,6,6,863.5203,1727.103,0,1.585254,1.154701,45,1.586931,1.053411,29.9502,0.3600762,0.01988105,0.05658106,0,,0.0064931,10.87566,5.762334,5.405835,5.571817,280.09302,24.226229,1399393020,SoFiA J184022.33+241334.4,96.7947629607853,2,1845+22
J1837+2204,18:37:53,22:04:10,51.4,12.7,0,,4100,,0,,0,,0,0,a,279.470833333333,22.0694444444444,131,1857,210.252,153.538,1776.666,210.627,154.106,1776.192,205,217,148,160,1761,1792,2311,32,119,0.759151,5.36134E-06,0.006428334,0.001074103,0,426.5147,16.90042,0.7240569,4,-0.04349367,33.78591,23.93453,879.0032,1758.043,0,6.038464,4.226928,-85.7127,4.931733,4.571898,65.37469,17.04231,0.0558167,0.7248517,4,203.8175,0.005904,60.04552,28.75268,25.7641,26.24932,279.4761,22.058933,1400313860,SoFiA J183754.26+220332.2,41.7276540678531,12,1845+22
J1848+2309,18:48:33,23:09:35,53.5,10.9,1.2,0.3,4287,3,158,5,166,8,61.3,9,a,282.1375,23.1597222222222,122,1791,63.807,218.614,1729.932,64.003,218.842,1730.023,59,69,214,222,1717,1741,818,25,77,0.573277,0.224274,0.03134246,0.001486229,0,213.7637,3.816141,0.2365261,3,-0.08003062,28,14.73052,857.5157,1715.08,0,4.431529,3.227207,75.19697,4.343268,3.313933,62.12822,3.990358,0.01926626,0.08938486,0,242.3068,0.0047405,29.4311,23.55196,4.597516,24.27071,282.12,23.145193,1399388540,SoFiA J184828.80+230842.7,78.058324564935,12,1845+22
J1849+2314,18:49:55,23:14:53,53.7,10.7,2.3,0.4,4211,5,175,10,198,15,60.5,9.3,a,282.479166666667,23.2480555555556,125,1814,43.939,225.405,1744.977,43.883,225.45,1744.853,39,48,221,230,1731,1772,1294,42,79,0.724583,7.580304E-07,0.001249596,0.001517379,0,553.6297,6.85674,0.3111296,4,-0.05126883,31.62606,21.10357,860.0006,1720.051,0,4.220176,3.471822,38.14084,3.789388,3.181726,26.19881,7.257527,0.02442612,0.1816292,0,192.6737,0.0044601,46.52943,36.86714,36.18738,36.82732,282.48575,23.253057,1399685760,SoFiA J184956.58+231511.0,28.2518189594071,12,1845+22
J1842+2136,18:42:58,21:36:15,51.5,11.4,2.7,0.3,4399,5,225,9,258,14,64.6,9.4,a,280.741666666667,21.6041666666667,109,1724,140.655,126.178,1715.778,140.71,126.296,1715.51,133,147,121,131,1684,1735,1995,52,104,0.782029,0.4241737,0.01628852,0.07088864,0,470.3833,10.83582,0.3490712,6,-0.2070395,54.2815,24.77947,842.5081,1685.049,0,6.491825,3.671187,-71.77197,4.414384,3.509059,-78.93531,11.19792,0.0212913,0.07426493,0,83.07558,0.0047561,52.76544,49.04738,26.20019,49.8971,280.73535,21.60413,1399097600,SoFiA J184256.48+213614.9,21.1376981807599,12,1845+22
J1845+2135,18:45:25,21:35:40,51.7,10.9,2.7,0.4,3325,3,226,6,234,8,47.2,9.2,a,281.354166666667,21.5944444444444,157,2066,106.813,124.447,1925.693,106.801,124.491,1926.169,101,113,119,130,1915,1936,1378,22,121,0.733132,0.1103339,0.04425792,0.003405179,0,48.041,6.065951,0.4713511,4,-0.09042212,18.75048,12.35986,956.5221,1913.09,0,5.876017,4.560058,-57.85967,5.579256,4.776555,-62.44978,5.998354,0.01941667,0.2396627,0,166.2048,0.0045308,35.66428,18.6023,10.98546,18.28271,281.34317,21.574823,1403319550,SoFiA J184522.36+213429.4,79.6523442898957,12,1845+22
J1840+2304,18:40:57,23:04:52,52.7,12.5,2.8,0.4,4110,4,244,9,266,13,61.6,9.4,a,280.2375,23.0811111111111,137,1894,168.055,215.464,1790.211,167.826,215.501,1790.558,164,172,212,219,1782,1799,603,18,58,0.576438,6.787479E-05,0.07585763,0.4589121,0,54.70794,3.562657,0.2827719,6,-0.2344523,17.57965,12.9679,890.0379,1780.082,0,3.234781,2.722225,50.77348,3.191283,2.923346,88.58788,3.486027,0.02214117,0,0,70.71426,0.0044021,32.24837,15.82336,12.13883,0,280.2385,23.088697,1400601730,SoFiA J184057.24+230519.3,27.5087807553679,12,1845+22
J1847+2256,18:47:55,22:56:38,53.2,11,6.1,0.8,4358,3,422,7,435,10,62.2,9.7,a,281.979166666667,22.9438888888889,130,1846,71.878,207.185,1758.866,71.947,207.107,1758.918,68,76,203,211,1750,1767,696,18,59,0.579637,0.2265685,0.03719562,0.001274729,0,325.3056,4.206233,0.4409212,3,-0.1323513,13.53679,8.693797,874.0186,1748.132,0,3.645495,3.055007,-20.69242,3.241699,3.064444,-4.55582,4.705749,0.02890861,0.3659925,0,354.4443,0.0042854,41.62295,14.8074,11.23682,13.12162,281.97495,22.950266,1399967620,SoFiA J184753.99+225701.0,26.8867011881774,12,1845+22
J1844+2147,18:44:55,21:47:37,51.9,11.1,6.2,0.7,4420,6,246,11,309,17,63.6,9.8,a,281.229166666667,21.7936111111111,111,1727,113.421,137.584,1711.409,113.501,137.571,1710.92,108,120,132,144,1673,1737,3072,65,126,0.603526,0.6373029,0.01873611,0.05914272,0,683.9697,-4375992070000,0.1593257,6,-0.1967894,0.02294141,0.01433838,836.5094,1673.034,0,5.334206,4.006153,22.33482,4.143456,3.842216,20.28773,19.54507,0.0385026,1.249633,0,359.5458,0.0052373,67.33137,61.78978,54.6372,5.627803,281.22305,21.792852,1399005570,SoFiA J184453.53+214734.3,20.6179853724932,12,1845+22
J1845+2124,18:45:05,21:24:49,51.5,10.9,2,0.4,4457,4,178,7,194,11,63.4,9.3,a,281.270833333333,21.4136111111111,22,6780,110.979,115.028,1703.56,110.962,115.09,1704.687,109,113,113,118,1680,1717,423,38,26,0.734334,,,,,,,,,,,,,,,3.350656,2.290328,13.715,2.755831,1.894662,-2.899191,4.162891,0.02757337,0,0,331.5163,0.0047831,42.36693,20.56448,12.09181,0,281.2686,21.418158,1398880640,SoFiA J184504.46+212505.4,18.0182102962339,22,1845+22
