id,id_old,x_geo,y_geo,z_geo,x,y,z,x_min,x_max,y_min,y_max,z_min,z_max,n_pix,n_chan,n_los,rel,bf_a,bf_b1,bf_b2,bf_c,bf_chi2,bf_f_int,bf_f_peak,bf_flag,bf_w,bf_w20,bf_w50,bf_xe,bf_xp,bf_z,ell3s_maj,ell3s_min,ell3s_pa,ell_maj,ell_min,ell_pa,f_int,f_peak,f_wm50,flag,kin_pa,rms,snr_int,w20,w50,wm50,ra,dec,freq,name
1.0,1.0,193.527,44.375,48.042,194.019,45.071,44.695,142.0,224.0,0.0,93.0,3.0,118.0,281619.0,116.0,4083.0,0.66621,0.7704371,0.4576647,0.00910829,0.0,20703.78,1595.33,26.03802,6.0,-0.1171582,87.10363,59.60353,0.2288323,0.01677777,0.0,57.27472,33.32037,-26.88604,56.24842,30.67865,-25.27094,1706.358,0.037028,0.0,5.0,146.5685,0.0058702,547.7589,88.28542,71.64945,0.0,287.29285,20.244461,1.36561178E9,SoFiA J190910.29+201440.1
2.0,2.0,112.941,85.037,46.732,112.596,85.713,43.976,69.0,165.0,55.0,118.0,6.0,120.0,210292.0,115.0,3200.0,0.833503,46.52336,2.528354,0.01032873,0.0,5827.468,1176.758,16.21748,6.0,-0.06096179,90.87262,72.78869,1.264177,0.02118403,0.0,48.24695,27.92434,84.78592,46.74797,26.15307,85.54725,1137.714,0.03518481,0.0,4.0,275.1499,0.0057743,429.6961,84.18851,71.57273,0.0,288.73938,20.928509,1.36559744E9,SoFiA J191457.45+205542.6
3.0,4.0,147.202,216.252,43.574,149.501,215.795,41.379,61.0,224.0,122.0,289.0,3.0,123.0,674040.0,121.0,11681.0,0.987571,17.60243,1.927182,0.01342733,0.0,28678.67,3493.494,62.84275,6.0,-0.1587712,78.40506,53.90829,0.9635909,0.01895842,0.0,87.93801,79.08844,78.68346,87.94318,76.73047,69.60373,3669.953,0.04625887,0.0,12.0,74.08136,0.0056929,785.4445,81.82801,67.4494,0.0,288.0705,23.095276,1.36554534E9,SoFiA J191216.92+230543.0
4.0,6.0,28.71,213.92,42.757,29.44,213.642,40.968,0.0,85.0,149.0,289.0,3.0,112.0,241281.0,110.0,4445.0,0.955881,0.001432415,0.1288706,0.0,0.0,25696.9,1186.019,22.74358,6.0,0.0,74.44786,50.42004,0.0644353,0.02123257,0.0,90.72284,31.78039,-13.01014,93.96506,29.12046,-14.95521,1327.366,0.05438361,0.0,5.0,165.687,0.0057311,471.6058,84.59206,65.18834,0.0,290.2456,23.054066,1.36553715E9,SoFiA J192058.95+230314.6
5.0,13.0,20.644,95.769,41.019,20.549,96.419,39.589,0.0,44.0,59.0,122.0,5.0,91.0,87155.0,87.0,1603.0,0.77402,15.17768,1.824226,0.03092613,0.0,3808.33,453.3773,7.748926,6.0,-0.08867559,78.56849,62.21898,0.9121129,0.02345418,0.0,31.04182,21.72363,15.54494,29.68097,20.76295,13.34243,462.6852,0.02998916,0.0,5.0,207.8146,0.0062882,249.2374,78.89797,62.44269,0.0,290.3839,21.09885,1.36550938E9,SoFiA J192132.14+210555.9
6.0,18.0,25.802,16.146,33.719,25.656,16.407,33.525,24.0,28.0,14.0,18.0,30.0,38.0,96.0,9.0,20.0,0.625508,3.667008E-4,0.04313952,0.0452994,0.0,2.551442,0.5209721,0.187531,4.0,-0.4488539,4.176318,2.639898,14.52157,29.44885,0.0,2.183193,1.19391,-29.58974,2.571349,1.952658,-46.02072,0.5325829,0.02127013,0.1059549,0.0,5.611964,0.0049252,11.09425,3.931093,2.519086,3.388713,290.27936,19.765776,1.3653879E9,SoFiA J192107.04+194556.8
7.0,19.0,168.458,158.802,33.0,168.155,159.034,32.904,166.0,172.0,157.0,161.0,30.0,36.0,96.0,7.0,27.0,0.635021,0.02019806,0.03524302,0.02989914,0.0,1.906443,0.3559229,0.1364093,3.0,-0.4912053,3.67599,2.429706,15.01762,30.49121,0.0,5.102922,1.384011,78.05832,3.942563,2.159022,74.42568,0.3579494,0.01396258,0.07734706,0.0,0.0,0.0053672,6.806745,3.609405,2.235487,3.142761,287.73947,22.147486,1.36537549E9,SoFiA J191057.47+220850.9
8.0,21.0,49.364,160.305,62.72,49.382,160.704,62.8,47.0,52.0,157.0,164.0,59.0,66.0,118.0,8.0,28.0,0.636141,0.04142599,0.02427135,0.03704206,0.0,6.402112,0.6408213,0.1898755,4.0,-0.3870069,4.81021,3.094138,29.01214,58.38701,0.0,5.072732,1.926976,-36.0656,4.194808,1.847471,-28.47693,0.6291006,0.01610846,0.1079865,0.0,0.0,0.0050235,11.52846,4.797219,2.829218,4.138379,289.87704,22.174562,1.36597466E9,SoFiA J191930.49+221028.4
9.0,23.0,55.486,189.114,32.029,55.434,188.982,32.296,54.0,57.0,187.0,191.0,30.0,34.0,35.0,5.0,12.0,0.541163,0.1120028,0.03049902,0.07597506,0.0,4.220811,0.2487007,0.1077649,4.0,-0.7042988,4.0,1.96535,15.01525,30.7043,0.0,1.830386,0.9501308,9.700937,2.21631,1.484135,-38.86045,0.2629066,0.0149024,0.05915399,0.0,0.0,0.0046078,9.644342,3.982219,1.61192,3.519091,289.77158,22.646582,1.36536333E9,SoFiA J191905.18+223847.7
10.0,27.0,173.873,140.669,15.849,173.741,140.682,15.666,170.0,179.0,135.0,147.0,10.0,22.0,750.0,13.0,89.0,0.704449,4.738364E-6,0.01453579,0.007725179,0.0,38.65807,3.457898,0.49352,4.0,-0.1625248,10.25217,6.7787,4.007268,8.162525,0.0,7.232367,3.548206,-30.57013,6.446196,3.808909,-35.28921,3.521131,0.01982434,0.338062,0.0,339.9009,0.0056181,22.88565,10.61844,6.24608,9.57614,287.64133,21.84099,1.36503002E9,SoFiA J191033.92+215027.6
