name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1902+2232,19:02:21,22:32:35,54.3,7.8,0.6,0.2,4052,7,38.0,13,66.0,20,57.7,8.7,a,285.58750000000003,22.543055555555554
J1907+2045,19:07:54,20:45:32,53.3,5.8,1.1,0.3,3989,6,149.0,13,175.0,19,57.4,8.9,a,286.975,20.75888888888889
J1910+2349,19:10:18,23:49:11,56.3,6.7,1.1,0.4,7324,10,194.0,20,233.0,31,103.6,9.4,a,287.575,23.81972222222222
J1903+2213,19:03:29,22:13:32,54.1,7.4,1.4,0.4,7771,8,147.0,16,184.0,24,109.8,9.6,a,285.87083333333334,22.225555555555555
J1852+2255,18:52:54,22:55:39,53.7,9.9,1.5,0.4,4172,7,168.0,14,200.0,21,60.7,9.1,a,283.225,22.9275
J1851+1954,18:51:40,19:54:14,50.8,8.9,1.6,0.3,3988,8,117.0,15,170.0,23,55.1,9.1,a,282.9166666666667,19.90388888888889
J1854+1934,18:54:46,19:34:28,50.8,8.1,1.6,0.3,4097,5,117.0,10,140.0,15,58.0,9.1,a,283.69166666666666,19.574444444444445
J1903+2421,19:03:48,24:21:15,56.1,8.3,1.7,0.3,4436,4,267.0,8,281.0,12,64.2,9.2,a,285.95,24.354166666666668
J1906+2327,19:06:56,23:27:43,55.6,7.3,1.8,0.4,9146,6,278.0,13,317.0,19,128.7,9.9,a,286.73333333333335,23.461944444444445
J1900+2240,19:00:06,22:40:31,54.2,8.3,3.1,0.4,4049,3,196.0,5,207.0,8,59.2,9.4,a,285.02500000000003,22.67527777777778
J1901+1944,19:01:39,19:44:47,51.7,6.7,4.3,0.5,3971,4,259.0,8,282.0,11,60.6,9.6,a,285.4125,19.746388888888887
