name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1927+2804,19:27:04,28:04:40,61.8,5.3,1.0,0.4,7636,11,144.0,21,173.0,32,107.0,9.5,a,291.76666666666665,28.07777777777778
J1943+2220,19:43:33,22:20:17,58.6,-0.7,1.0,0.3,3100,5,98.0,10,116.0,14,47.2,8.7,a,295.8875,22.338055555555556
J1845+2124,18:45:05,21:24:49,51.5,10.9,2.0,0.4,4457,4,178.0,7,194.0,11,63.4,9.3,a,281.27083333333337,21.413611111111113
J1840+2129,18:40:10,21:29:30,51.1,12.0,3.0,0.4,4227,3,249.0,7,261.0,10,63.1,9.5,a,280.0416666666667,21.491666666666667
J1900+2846,19:00:50,28:46:42,59.9,10.8,3.0,0.5,4378,6,232.0,12,267.0,18,62.7,9.4,a,285.20833333333337,28.778333333333336
J1901+2456,19:01:37,24:56:42,56.4,9.0,3.0,0.5,9300,4,339.0,8,354.0,12,133.3,10.1,a,285.4041666666667,24.945
J1941+2816,19:41:33,28:16:40,63.6,2.6,3.0,0.4,6769,8,221.0,15,309.0,23,94.2,9.8,a,295.3875,28.27777777777778
J1851+2629,18:51:55,26:29:02,56.9,11.6,4.0,0.6,3731,7,394.0,14,433.0,21,54.1,9.4,a,282.9791666666667,26.483888888888888
J1840+2340b,18:40:46,23:40:52,53.2,12.8,6.0,0.6,4804,4,467.0,9,497.0,13,69.4,9.8,a,280.1916666666667,23.68111111111111
J1837+2204,18:37:53,22:04:10,51.4,12.7,0.0,,4100,,0.0,,0.0,,0.0,0.0,a,279.4708333333333,22.069444444444443
J1939+1930,19:39:30,19:30:10,55.7,-1.3,0.0,,9916,,0.0,,0.0,,0.0,0.0,a,294.87500000000006,19.502777777777776
J2012+2115,20:12:06,21:15:23,61.1,-6.9,0.4,0.2,552,5,27.0,11,54.0,16,4.5,6.3,a,303.025,21.25638888888889
J2007+2341,20:07:49,23:41:08,62.7,-4.8,0.5,0.2,2351,5,64.0,10,92.0,14,33.5,8.2,a,301.95416666666665,23.685555555555556
J1902+2232,19:02:21,22:32:35,54.3,7.8,0.6,0.2,4052,7,38.0,13,66.0,20,57.7,8.7,a,285.58750000000003,22.543055555555554
J1929+2223,19:29:09,22:23:55,57.0,2.2,0.6,0.2,11507,7,16.0,15,99.0,22,163.1,9.6,a,292.28749999999997,22.398611111111112
J1854+2629,18:54:06,26:29:30,57.1,11.2,0.7,0.3,3952,4,114.0,7,120.0,11,56.9,8.7,a,283.525,26.491666666666667
J1924+2033,19:24:31,20:33:45,54.9,2.3,0.7,0.2,9831,8,137.0,15,164.0,23,143.3,9.5,a,291.12916666666666,20.5625
J1946+2204,19:46:39,22:04:19,58.7,-1.5,0.7,0.3,4602,9,117.0,18,150.0,27,66.1,8.9,a,296.6625,22.071944444444444
J1848+2020,18:48:01,20:20:30,50.8,9.8,0.8,0.3,4908,9,123.0,18,159.0,27,68.0,8.9,a,282.0041666666667,20.341666666666665
J1922+1956,19:22:30,19:56:42,54.1,2.4,0.8,0.3,7967,5,102.0,10,115.0,15,116.0,9.4,a,290.625,19.945
J1924+2105,19:24:03,21:05:20,55.3,2.7,0.8,0.3,3104,7,79.0,14,98.0,21,47.9,8.6,a,291.01250000000005,21.08888888888889
J1942+2823,19:42:24,28:23:08,63.7,2.5,0.8,0.2,4592,4,105.0,8,124.0,12,62.8,8.8,a,295.6,28.385555555555555
J1846+2716,18:46:19,27:16:29,57.1,13.1,0.9,0.3,3413,7,76.0,14,114.0,20,50.7,8.8,a,281.57916666666665,27.274722222222223
J1950+2058,19:50:19,20:58:25,58.2,-2.8,0.9,0.3,4461,6,148.0,11,156.0,17,59.8,8.9,a,297.57916666666665,20.97361111111111
J1901+2647,19:01:40,26:47:45,58.1,9.8,1.1,0.3,4166,4,158.0,7,163.0,11,55.5,8.9,a,285.4166666666667,26.795833333333334
J1907+2045,19:07:54,20:45:32,53.3,5.8,1.1,0.3,3989,6,149.0,13,175.0,19,57.4,8.9,a,286.975,20.75888888888889
J1910+2349,19:10:18,23:49:11,56.3,6.7,1.1,0.4,7324,10,194.0,20,233.0,31,103.6,9.4,a,287.575,23.81972222222222
J1944+2753,19:44:24,27:53:34,63.5,1.9,1.1,0.2,5647,6,111.0,12,167.0,18,79.8,9.2,a,296.1,27.892777777777777
J1848+2309,18:48:33,23:09:35,53.5,10.9,1.2,0.3,4287,3,158.0,5,166.0,8,61.3,9.0,a,282.1375,23.15972222222222
J2001+2736,20:01:59,27:36:51,65.3,-1.6,1.2,0.3,3205,5,77.0,10,98.0,14,45.7,8.8,a,300.49583333333334,27.614166666666666
J1847+2547,18:47:11,25:47:33,55.8,12.3,1.3,0.3,3951,8,162.0,15,191.0,23,53.6,8.9,a,281.7958333333334,25.7925
J1901+2747,19:01:13,27:47:24,59.0,10.3,1.3,0.3,3811,5,81.0,9,104.0,14,52.7,8.9,a,285.3041666666667,27.79
J1941+2002,19:41:38,20:02:28,56.4,-1.5,1.3,0.4,4585,9,123.0,19,159.0,28,65.4,9.1,a,295.4083333333333,20.04111111111111
J1900+2847,19:00:31,28:47:23,59.8,10.9,1.3*,1.0,1931,10,130.0,20,137.0,30,27.7,8.4,a,285.12916666666666,28.789722222222224
