name;ra;dec;GAL_LONG;GAL_LAT;flux;fluxerr;velcenter;velerr;w50max;velerr;w20max;velerr;DLG;MHI;a
J1816+1124;18:16:38;11:24:26;39,3;12,8;1,0;0,3;2298;3;77;6;85;9;37,0;8,5;a
J1833+1040;18:33:17;10:40:46;40,5;8,8;1,0;0,3;3120;3;52;7;67;10;43,2;8,6;a
J1855+1239;18:55:39;12:39:57;44,7;4,8;1,0;0,3;4237;9;178;17;223;26;60,8;9,0;a
J1927+2804;19:27:04;28:04:40;61,8;5,3;1,0;0,4;7636;11;144;21;173;32;107,0;9,5;a
J1940+1155;19:40:43;11:55:18;49,2;-5,3;1,0;0,2;580;3;28;7;66;10;6,3;7,0;a
J1943+2220;19:43:33;22:20:17;58,6;-0,7;1,0;0,3;3100;5;98;10;116;14;47,2;8,7;a
J1950+1056;19:50:33;10:56:03;49,5;-7,8;1,0;0,3;6861;6;93;11;113;17;98,0;9,3;a
J2011+0928;20:11:57;09:28:16;50,9;-13,1;1,0;0,3;7543;5;87;10;102;15;110,0;9,5;a
J2052+2241;20:52:20;22:41:55;67,8;-13,7;1,0;0,3;3516;5;101;10;118;14;48,6;8,7;a
J2058+1950;20:58:55;19:50:49;66,4;-16,7;1,0;0,3;7028;4;135;8;142;13;101,4;9,4;a
J2102+2511;21:02:44;25:11:51;71,3;-14,0;1,0;0,2;3122;3;42;6;60;10;45,0;8,7;a
J2105+2710;21:05:37;27:10:19;73,3;-13,3;1,0;0,3;981;8;183;17;253;25;11,1;7,5;a
J1822+1516;18:22:29;15:16:33;43,5;13,2;2,0;0,5;4950;7;213;14;240;22;69,2;9,4;a
J1833+1036;18:33:19;10:36:34;40,4;8,8;2,0;0,4;3158;6;122;13;157;19;43,6;9,0;a
J1844+1618;18:44:29;16:18:46;46,8;8,9;2,0;0,4;4286;7;173;14;205;21;60,0;9,2;a
J1845+2124;18:45:05;21:24:49;51,5;10,9;2,0;0,4;4457;4;178;7;194;11;63,4;9,3;a
J1847+1555;18:47:08;15:55:43;46,7;8,1;2,0;0,4;7282;6;394;12;414;18;103,6;9,7;a
J1918+1610;19:18:48;16:10:11;50,4;1,4;2,0;0,4;6605;4;281;8;289;12;94,4;9,6;a
J1930+1116;19:30:34;11:16:03;47,4;-3,4;2,0;0,3;3177;4;117;8;148;12;46,6;9,0;a
