name,ra,dec,GAL_LONG,GAL_LAT,flux,fluxerr,velcenter,velerr,w50max,velerr,w20max,velerr,DLG,MHI,a,ra_dec,dec_d
J1816+1124,18:16:38,11:24:26,39.3,12.8,1.0,0.3,2298,3,77.0,6,85.0,9,37.0,8.5,a,274.1583333333333,11.407222222222222
J1833+1040,18:33:17,10:40:46,40.5,8.8,1.0,0.3,3120,3,52.0,7,67.0,10,43.2,8.6,a,278.3208333333333,10.679444444444444
J1855+1239,18:55:39,12:39:57,44.7,4.8,1.0,0.3,4237,9,178.0,17,223.0,26,60.8,9.0,a,283.9125,12.665833333333333
J1927+2804,19:27:04,28:04:40,61.8,5.3,1.0,0.4,7636,11,144.0,21,173.0,32,107.0,9.5,a,291.76666666666665,28.07777777777778
J1940+1155,19:40:43,11:55:18,49.2,-5.3,1.0,0.2,580,3,28.0,7,66.0,10,6.3,7.0,a,295.1791666666667,11.921666666666667
J1943+2220,19:43:33,22:20:17,58.6,-0.7,1.0,0.3,3100,5,98.0,10,116.0,14,47.2,8.7,a,295.8875,22.338055555555556
J1950+1056,19:50:33,10:56:03,49.5,-7.8,1.0,0.3,6861,6,93.0,11,113.0,17,98.0,9.3,a,297.63750000000005,10.934166666666666
J2011+0928,20:11:57,09:28:16,50.9,-13.1,1.0,0.3,7543,5,87.0,10,102.0,15,110.0,9.5,a,302.98749999999995,9.471111111111114
J2052+2241,20:52:20,22:41:55,67.8,-13.7,1.0,0.3,3516,5,101.0,10,118.0,14,48.6,8.7,a,313.08333333333337,22.698611111111113
J2058+1950,20:58:55,19:50:49,66.4,-16.7,1.0,0.3,7028,4,135.0,8,142.0,13,101.4,9.4,a,314.7291666666667,19.846944444444446
J2102+2511,21:02:44,25:11:51,71.3,-14.0,1.0,0.2,3122,3,42.0,6,60.0,10,45.0,8.7,a,315.68333333333334,25.1975
J2105+2710,21:05:37,27:10:19,73.3,-13.3,1.0,0.3,981,8,183.0,17,253.0,25,11.1,7.5,a,316.4041666666667,27.171944444444446
J1822+1516,18:22:29,15:16:33,43.5,13.2,2.0,0.5,4950,7,213.0,14,240.0,22,69.2,9.4,a,275.62083333333334,15.275833333333331
J1833+1036,18:33:19,10:36:34,40.4,8.8,2.0,0.4,3158,6,122.0,13,157.0,19,43.6,9.0,a,278.3291666666667,10.609444444444444
J1844+1618,18:44:29,16:18:46,46.8,8.9,2.0,0.4,4286,7,173.0,14,205.0,21,60.0,9.2,a,281.1208333333333,16.31277777777778
J1845+2124,18:45:05,21:24:49,51.5,10.9,2.0,0.4,4457,4,178.0,7,194.0,11,63.4,9.3,a,281.27083333333337,21.413611111111113
J1847+1555,18:47:08,15:55:43,46.7,8.1,2.0,0.4,7282,6,394.0,12,414.0,18,103.6,9.7,a,281.7833333333333,15.928611111111111
