Name,Mean,SD,Variance,Median_Absolute_Deviation,Minimum,Maximum,nGood
name_1,,,,,J1837+2204,J2105+2710,68
ra_1,,,,,18:37:53,21:05:37,68
dec_1,,,,,19:33:03,28:42:32,68
GAL_LONG,58.686764,6.259626,39.182915,3.4000015,50.8,73.3,68
GAL_LAT,2.7220588,8.690493,75.52466,6.9999995,-14.0,13.9,68
flux,3.9735293,5.628724,31.682533,1.0,0.0,42.3,68
fluxerr,0.53432834,0.346648,0.12016484,0.099999994,0.2,2.3,67
velcenter,5008.956,2415.586,5835055.5,877.0,299,11507,68
velerr_1,4.716418,1.7086782,2.9195812,1.0,2,10,67
w50max,211.38235,125.71513,15804.295,71.0,0,627,68
velerr_1a,9.4925375,3.4267304,11.742481,2.0,3,21,67
w20max,239.16176,122.44273,14992.224,62.0,0,644,68
velerr_1b,14.223881,5.021806,25.218534,3.0,5,31,67
DLG,71.11912,35.81917,1283.0131,15.300003,0.0,163.1,68
MHI,9.252941,1.2722688,1.6186678,0.3000002,0.0,10.4,68
a,,,,,a,a,68
ra_dec,292.74258,11.419492,130.40479,8.487488,279.470833333333,316.404166666667,68
dec_d,23.661936,2.4340026,5.924369,1.8658333,19.5508333333333,28.7088888888889,68
id,211.20589,198.81618,39527.87,90.0,11,963,68
id_old,6412.2646,15860.79,2.51564672E8,1106.0,31,114901,68
x_geo,120.27643,57.545303,3311.462,52.483997,13.602,217.835,68
y_geo,142.69563,80.93212,6550.009,68.173996,3.207,283.741,68
z_geo,1638.5337,547.7923,300076.38,178.66199,187.124,3017.748,68
x,120.15127,57.417175,3296.732,52.581,13.55,217.845,68
y,142.72289,80.94364,6551.873,68.502,2.618,283.775,68
z,1638.4426,548.02576,300332.22,178.0039,187.107,3019.716,68
x_min,115.30882,56.721783,3217.3606,50.0,10,216,68
x_max,124.76471,58.491356,3421.2388,52.0,18,224,68
y_min,138.19118,81.069916,6572.331,73.0,0,283,68
y_max,147.30882,80.937935,6550.9487,67.0,8,289,68
z_min,1621.5441,546.0619,298183.6,174.0,180,3000,68
z_max,1656.2206,548.48627,300837.2,180.0,195,3030,68
n_pix,1379.9706,2256.9778,5093948.5,518.0,26,14124,68
n_chan,35.67647,27.262041,743.2189,16.0,1,127,68
n_los,91.69118,169.48445,28724.979,33.0,6,1342,68
rel,0.7093383,0.13460046,0.018117284,0.08861697,0.522796,1.0,68
bf_a,0.1867587,0.26587066,0.070687205,0.054199934,4.481759E-8,1.257105,56
bf_b1,0.0877394,0.17558904,0.03083151,0.02167124,0.0,1.139422,56
bf_b2,0.058676444,0.11730734,0.013761013,0.010803462,0.0,0.6597851,56
bf_c,0.0,0.0,0.0,0.0,0,0,56
bf_chi2,766.5341,1938.8018,3758952.2,241.16588,1.070659,14122.88,56
bf_f_int,-7.8240694E10,5.7950916E11,3.3583083E23,2.6236558,-4.37599207E12,94.27191,56
bf_f_peak,0.3087164,0.28100768,0.078965314,0.119373396,0.02290088,1.350854,56
bf_flag,4.375,1.3438019,1.8058035,1.0,1,6,56
bf_w,-0.113234594,0.085026115,0.007229441,0.045329593,-0.350819,0.0,56
bf_w20,28.386782,25.128853,631.4592,11.142521,0.02294141,117.2812,56
bf_w50,20.76461,20.194532,407.81912,7.3640995,0.01433838,102.1794,56
bf_xe,774.9546,278.91238,77792.125,114.022095,89.027,1499.512,56
bf_xp,1549.9116,557.8444,311190.4,228.07092,178.1804,2999.0,56
bf_z,0.0,0.0,0.0,0.0,0,0,56
ell3s_maj,4.4673314,2.589631,6.706189,1.5548241,1.452856,13.39269,67
ell3s_min,3.1117496,1.6487494,2.7183745,0.9561162,0.9005742,8.427413,67
ell3s_pa,4.306873,49.98869,2498.8691,39.4653,-86.7807,85.6278,67
ell_maj,4.19855,4.842875,23.453438,1.1557059,1.383702,40.86017,68
ell_min,2.9772067,2.190102,4.796547,0.8696979,0.9611451,17.36095,68
ell_pa,3.126153,54.29752,2948.2207,43.228073,-89.40607,89.8578,68
f_int,9.633568,15.774241,248.82669,3.216178,0.2557852,103.4548,68
f_peak,0.027413351,0.011606969,1.3472173E-4,0.00444247,0.01162474,0.07393718,68
f_wm50,0.2736248,0.3213757,0.10328235,0.09475741,0.0,1.683615,68
flag,0.14705883,0.6916456,0.4783737,0.0,0,4,68
kin_pa,187.2675,104.75135,10972.845,61.8188,0.0,359.5458,67
rms,0.0052560605,0.0036225733,1.3123038E-5,2.44E-4,0.004081,0.034661,68
snr_int,44.546303,38.553658,1486.3845,16.269882,7.95068,264.1177,68
w20,29.530104,24.554237,602.9106,13.603809,0.0,118.6525,68
w50,22.681295,23.570087,555.549,8.576996,0.0,114.4977,68
wm50,25.782564,25.457699,648.09436,10.456473,0.0,118.6432,68
ra_2,292.7428,11.419779,130.41135,8.503021,279.4761,316.40607,68
dec_2,23.661842,2.4319386,5.914325,1.8710175,19.555996,28.703646,68
freq,1.39755302E9,1.0983307E7,1.2063304E14,3567360.0,1368466050,1425235970,68
name_2,,,,,SoFiA J183754.26+220332.2,SoFiA J210537.45+270840.8,68
Separation,37.466415,30.042606,902.5582,20.21438,1.15919930355416,102.264140417463,68
run,8.838235,7.267191,52.81207,4.0,2,28,68
cubo,,,,,1845+22,2100+26,68
