tabla,velcenter
SoFiA,11590.9757303584
SoFiA,11601.1889789547
SoFiA,11604.8086775169
SoFiA,11604.2134851003
SoFiA,11596.461209404
SoFiA,11614.6145781118
SoFiA,11608.1582178191
SoFiA,11610.7521592378
SoFiA,11614.1291374883
SoFiA,11594.8402598438
SoFiA,11061.8433401231
SoFiA,11063.1941314232
SoFiA,10529.9840399505
SoFiA,8295.88287060706
SoFiA,301.116919211839
SoFiA,11433.6085438854
SoFiA,11397.9750915085
SoFiA,11419.1276390251
SoFiA,11425.5861099291
SoFiA,10971.3951989064
SoFiA,11609.5638850159
SoFiA,11373.3632518967
SoFiA,11374.2560405216
SoFiA,11731.0253502405
SoFiA,11303.4471384431
SoFiA,11451.033751658
SoFiA,11063.5993688133
SoFiA,11708.144211982
SoFiA,11396.1388595849
SoFiA,11069.1376131441
SoFiA,11658.192371823
SoFiA,11064.32964036
SoFiA,11563.5821049127
SoFiA,11067.761494507
SoFiA,11064.1396853334
SoFiA,11556.1253148133
SoFiA,10601.6034168092
SoFiA,10401.9015867436
SoFiA,10598.3066417921
SoFiA,11057.2506497024
SoFiA,10351.0041926744
SoFiA,10327.8782234928
SoFiA,10596.3353307384
SoFiA,10258.5277538961
SoFiA,10201.3892818978
SoFiA,10145.5213979663
SoFiA,9624.38611435041
SoFiA,9607.66374017628
SoFiA,9550.76798848969
SoFiA,9541.28501144004
SoFiA,9517.51108455657
SoFiA,9530.50611898675
SoFiA,8333.62482377915
SoFiA,8337.75740091316
SoFiA,6583.05206400952
SoFiA,6386.43172659747
SoFiA,6030.74093930742
SoFiA,5200.46440297316
SoFiA,4502.32058313498
SoFiA,4437.10480128376
SoFiA,4021.49375616158
SoFiA,813.364418194676
SoFiA,313.436557991912
SoFiA,293.605253215891
SoFiA,-934.641838104541
SoFiA,11246.7139038348
SoFiA,10952.9695613272
SoFiA,11124.2773361404
SoFiA,11358.1267481527
SoFiA,11303.8523758331
SoFiA,11703.794241873
SoFiA,11684.9106016186
SoFiA,11627.1241719185
SoFiA,11149.7270884807
SoFiA,11626.9342168919
SoFiA,11500.5803544269
SoFiA,11495.2320651227
SoFiA,11276.8091118809
SoFiA,11483.5350567076
SoFiA,11454.7632020134
SoFiA,11364.5029052119
SoFiA,11389.2223860055
SoFiA,11407.1879102982
SoFiA,11398.2726877169
SoFiA,11379.5768918776
SoFiA,11370.1487907245
SoFiA,11388.8973518489
SoFiA,11380.0370051642
SoFiA,11387.8715947054
SoFiA,11376.7676680954
SoFiA,11324.5996859596
SoFiA,11303.5547796248
SoFiA,11364.8807046537
SoFiA,11304.1752993783
SoFiA,11308.067266812
SoFiA,11306.4463172518
SoFiA,11337.3245621297
SoFiA,11308.9579448256
